 p  t1     t2     tt     m1     m2    mm
  0  29728 537180     94   2420  40812     94
  1  25852 2632268     99   3228  40812     92
  2  51640 443168     88   4036  40812     90
  3  47204 421508     88   4844  40812     88
  4  68352 424888     83   5652  40812     86
  5  66696 420980     84   6460  40812     84
  6  71860 421784     82   7268  40812     82
  7 141528 428552     66   8076  40812     80
  8 111316 663592     83   8884  40812     78
  9 112996 415688     72   9692  40812     76
 10 119768 417848     71  10500  40812     74
 11 134780 415032     67  11308  40812     72
 12 205576 446828     53  12116  40812     70
 13 158332 411384     61  12924  40812     68
 14 168644 415000     59  13732  40812     66
 15 223696 698076     67  14540  40812     64
 16 259788 1289912     79  15348  40812     62
 17 210024 415908     49  16156  40812     60
 18 306772 726064     57  16964  40812     58
 19 310788 912572     65  17772  40812     56
 20 317744 870016     63  18580  40812     54
 21 361172 710584     49  19388  40812     52
 22 276844 412192     32  20196  40812     50
 23 295096 566388     47  21004  40812     48
 24 305608 418584     26  21812  40812     46
 25 938264 573556    -63  22620  40812     44
 26 458244 543140     15  23428  40812     42
 27 537248 466544    -15  24236  40812     40
 28 322296 518680     37  25044  40812     38
 29 383168 507724     24  25852  40812     36
 30 358572 565352     36  26660  40812     34
 31 361068 487236     25  27468  40812     32
 32 290104 240034    -20  28276  40812     30
 33 247660 336798     26  29084  40812     28
 34 294368 325254      9  29892  40812     26
 35 276586 536362     48  30700  40812     24
 36 257524 205592    -25  31508  40812     22
 37 212714 165894    -28  32316  40812     20
 38 222084 164268    -35  33124  40812     18
 39 224928 164626    -36  33932  40812     16
 40 252374 167238    -50  34740  40812     14
 41 242894 164152    -47  35548  40812     12
 42 258766 166434    -55  36356  40812     10
 43 256494 170244    -50  37164  40812      8
 44 275440 137894    -99  37972  40812      6
 45 226200 137864    -64  38780  40812      4
 46 234904 137614    -70  39588  40812      2
 47 253580 138840    -82  40396  40812      1
 48 247942 152372    -62  41204  40812      0
 49 249160 137712    -80  42012  40812     -2
 50 252360 138240    -82  42820  40812     -4
 51 258350 137664    -87  43628  40812     -6
 52 261586 137360    -90  44436  40812     -8
 53 265030 137734    -92  45244  40812    -10
 54 272002 162412    -67  46052  40812    -12
 55 275892 137828   -100  46860  40812    -14
 56 274928 137506    -99  47668  40812    -16
 57 288782 137802   -109  48476  40812    -18
 58 287108 141488   -102  49284  40812    -20
 59 294716 137304   -114  50092  40812    -22
 60 291978 137336   -112  50900  40812    -24
 61 317114 138240   -129  51708  40812    -26
 62 296980 138390   -114  52516  40812    -28
 63 300322 137406   -118  53324  40812    -30
 64 361012 140638   -156  54132  40812    -32
 65 304650 137200   -122  54940  40812    -34
 66 305988 449548     31  55748  40812    -36
 67 314976 137350   -129  56556  40812    -38
 68 307902 141512   -117  57364  40812    -40
 69 317508 137556   -130  58172  40812    -42
 70 313658 137886   -127  58980  40812    -44
 71 314046 138314   -127  59788  40812    -46
 72 341628 138950   -145  60596  40812    -48
 73 318000 137364   -131  61404  40812    -50
 74 317744 137192   -131  62212  40812    -52
 75 321138 137710   -133  63020  40812    -54
 76 321264 137474   -133  63828  40812    -56
 77 323414 137166   -135  64636  40812    -58
 78 510418 140538   -263  65444  40812    -60
 79 325152 137254   -136  66252  40812    -62
 80 345324 142216   -142  67060  40812    -64
 81 326256 137792   -136  67868  40812    -66
 82 333150 138114   -141  68676  40812    -68
 83 329392 138250   -138  69484  40812    -70
 84 329762 142206   -131  70292  40812    -72
 85 328518 137596   -138  71100  40812    -74
 86 331436 138512   -139  71908  40812    -76
 87 332268 137634   -141  72716  40812    -78
 88 337668 138092   -144  73524  40812    -80
 89 339430 137358   -147  74332  40812    -82
 90 335368 137636   -143  75140  40812    -84
 91 336358 137352   -144  75948  40812    -86
 92 338070 136972   -146  76756  40812    -88
 93 339246 138646   -144  77564  40812    -90
 94 336990 137364   -145  78372  40812    -92
 95 338974 137940   -145  79180  40812    -94
 96 338578 138072   -145  79988  40812    -95
 97 338838 137660   -146  80796  40812    -97
 98 338768 138282   -144  81604  40812    -99
 99 533190 209800   -154  82412  40812   -101
100 542080 228614   -137  83220  40812   -103
